,title,date,content
11,PC 온라인게임 추천 순위 급상승 아키에이지 환락 시즌서버 후기,2021.07.09.,"그리고 현재 업데이트로 인하여 온라인 게임 순위에 상승세를 타고 있는 게임이기도 하죠. 왜 다시 이런 추억의 게임 얘기를 하느냐 하면, 아키에이지에 새로운 서버와 능력이 등장한다고 합니다. 그것도 일반적인 신규..."
12,할만한온라인게임 마영전 매력적인 신캐 단아 출시!,2021.07.12.,"외적으로도 게임 플레이 내적으로도 충분히 매력적인 캐릭터라 느껴지며, 신규 이벤트까지 풍성해 복귀하고 싶은 마음이 들게 된다. 올여름 할만한온라인게임을 찾는다면 마영전에 접속해 단아를 플레이해보는 건..."
13,"PC온라인게임 바람의나라, 바린이나르샤로 700레벨까지 빠르게 초보 탈출!",2021.08.11.,"하지만, 이런 장수 게임들은 쌓여온 내공이 많은 만큼 초보자의 입장에서는 여간 부담스럽게 느껴지는 게... 여기까지 한계돌팔 업데이트로 역대급 이벤트를 진행하고 있는 PC온라인게임, 바람의나라에 대한 이야기를..."
14,중국의 새로운 게임 규제,15시간 전,"https://youtu.be/DnpwAY3ay6M 중국에서 새로운 온라인 게임규제를 발표했는데, 미성년자는 온라인 게임에서 금,토,일과 공휴일에만 오후 8시~오후9시사이의 시간, 1일 1시간만 게임을 이용할수 있다고 합니다. 즉..."
15,"판타지마스터즈, 한국 온라인 카드배틀의 자존심",2021.06.18.,"하지만 장르 노하우가 제대로 잡히지도 않은 시절, PC온라인에서 카드게임 장르를 개척해나간 게임이 있습니다. 주인공은 바로 판타지 마스터즈입니다. 오픈 시기는 2002년, 개발사는 제오닉스입니다. 이후..."
16,라테일에 서브 각성이 업데이트 됐다고? PC 온라인게임 추천각이네!,16시간 전,"스토리와 편의성이 대폭 업데이트 되었고, 해상도 확장과 아트 리뉴얼 등 요즘 트렌드에 맞게 게임이 완전히... 물론 라테일 홈페이지에서도 이 각성 스킬 영상을 살펴볼 순 있지만, 이렇게 인게임에서 보는 맛도 새롭기..."
17,"PC 온라인게임 추천 라테일 각성 Part2 업데이트, 이번엔 서브 클래스!",4일 전,라붐 업데이트를 통해 새로 꽃단장을 하고 있는 장수 PC 온라인게임 라테일에 지난 25일 3차 패치가... 텍스트와 일치하는 아이템을 한눈에 보기 쉽게 변경되었으며 인 게임에서 채팅 폰트까지 선택할 수 있는 기능도 추가...
18,"[세망없] 국산 포켓몬스터 워너비, 믹스마스터 온라인",2021.08.03.,"애니메이션은 반응이 좋았는지, 별도 게임으로 나오기도 했죠 그럼에도 독특한 게임성 덕에 당시 ‘믹스마스터 온라인’은 미디어믹스 차원에서 애니메이션, 만화 같은 영역에도 발을 내딛었습니다. 여기에..."
19,"아키에이지 시즌 서버 환락 플레이해보니, PC온라인게임 추천 순위 상승할 만하네요!",2021.07.09.,"오늘은 PC온라인게임 순위 상승 중인 아키에이지 시즌 서버 환락을 플레이해보고, 자세한 정보를 소개해 드렸는데요. 오랜 기간 운영된 게임이어서 쉽게 적응할 수 있을지 걱정을 많이 했었는데, 시즌 운영 덕분에..."
20,착한게임 파이널판타지14 해보면 온라인게임추천 이유를 알 수 있습니다.,2021.05.28.,"그 조건이라는 것도 노가다를 과하게 요구하지 않는다는 점에서 다시 한번 착한게임으로 온라인게임추천 하는 이유를 느껴볼 수 있죠. 4줄을 하면 헤르메스의 신발을, 6줄에는 꼬마 친구 '뚱냥이'와 8줄에는 '큰머위 요정..."
21,[gif] K 온라인 게임이 운영은 잘 했었네요,2021.08.19.,천조국 온라인 게임은 10일 넘게 이꼴인데 아무 대처도 없음 ㅋㅋ 하....
22,천애명월도 신규 문파 종룡 사전 예약! 온라인 게임 추천 할만해,2021.07.30.,"온라인 게임 추천을 받을 때 유심히 살펴봐야 할 것 중 하나가 다가올 업데이트에 대한 비전입니다. 앞으로... 추천 온라인 게임입니다. 신규 캐릭터를 만들어 출석만 해도 많은 보상을 수령할 수 있으며, 복귀 유저는..."
23,PC 온라인게임 추천 라테일 각성 1차 업데이트 정리,2021.08.17.,"추억에 다시 돌아오시는 분들은 물론, 할만한 PC 온라인게임 추천을 찾고 계신 분들께도 분명 눈여겨볼 만한... PC 온라인게임 추천 작 라테일을 즐겨 보시길 바라겠습니다. 이제 25일 2차 업데이트를 앞두고 있는..."
24,[게임] 알비온 온라인 - 저주 법사가 되다.,2021.08.17.,다시 직업 추천 게시물에 가서 보니 해당 빌드는 PVP할때 좋은 빌드라고 써있다. 아... 난 주로 PVE만 하는데.... 이제 도끼 만들러 가야 할 떄인 것 같다. #알비온온라인 #게임찍먹 #저주법사 #저주스태프 #알비온마법사빌드
25,온라인게임 하는 방법이 궁금합니다.,2021.08.11.,플스4 중고로사서 아들하고 1:1로만 위닝하다가 온라인 접속해서 하는 방법을 알고싶어서요.. 본체에다 랜선꽂기만 하면 되는건지 아이피 잡아주어야 되는건지요?
26,혼란를 틈탄 추억의 온라인게임 근황들.,2021.02.19.,라그하임 - 최초 국산 3D 온라인게임으로 장난아니게 유명했던 게임. 지금은 본 회사가 망하고 옮긴상태로 꾸준히 업데이트는 하지만. 엔진 업데이트를 안해서 CD게임급 버그랑 오류가 많음. 그래도 꾸준히 사랑받고있음....
27,PC온라인게임순위 상승 기대! 아키에이지 시즌서버 환락 오픈&이벤트 공략까지,2021.07.06.,국내 PC온라인게임 가운데 오랜 시간동안 명맥을 이어나가고 있는 아키에이지에서 이번에 신규 시즌서버인... 저비용 고효율로 캐릭터를 육성하면 그만큼의 리턴값이 확실한 게임이기도 합니다. 아키에이지의...
28,9월 1주차 PC온라인게임순위 분석,13시간 전,오늘은 9월 1주차 PC온라인게임 순위 분석을 통해 한 주간의 인기 게임과 이슈들을 살펴보려고 합니다. 아직 사회적 거리 두기 단계가 낮춰지지 않고 있어 쉬는 날에도 집에서 주로 생활하는 분들이 많으실 것 같은데요....
29,PC 온라인게임 추천 라테일 각성 업데이트 공략,2021.08.12.,2006년 이후 꾸준히 서비스가 되고 있는 만큼 그동안 열심히 게임을 즐기고 있는 유저들의 애정에 보답하는 운영이 앞으로도 빛을 보았으면 좋겠어요. 다양한 이벤트가 함께 진행되고 있어 할 만한 PC 온라인게임을 찾고...
30,역시 게임은 온라인말고 콘솔해야겠네요,2020.12.16.,안녕하세요 거의 1년이상 플스를 잠깐 외도하고 온라인게임 특유의 커뮤니티 감성을 좋아해서 온라인 게임에 빠졌었습니다. 로스트아크를 하다가 게임이 즐길수있는 컨텐츠가 부족하다보니 남는 시간이 많아 다른게임을...
31,"그래픽 좋은 온라인게임 검은사막 풍경 탐방, 여름휴가 GO!",2021.08.20.,안녕하세요 게임큐레이터 박한량입니다. 8월 1일 검은사막 커세어 각성 클래스가 선보였는데 반응이 뜨겁다.... 과연 게임큐레이터 박한량이 추천하는 지역은 어디인지 함께 알아보도록 하자. 검은사막 뷰맛집 어디일까?...
32,온라인 게임은 컨셉질이 재밌어,2021.07.24.,킬 딸때마다 한번씩 쳐주면 사람들 아주 좋아죽어 아 컨셉질하려고 온라인 게임하지ㅋㅋ 역시 빡겜보다 게임은 제대로 하되 즐겜하는 게 정신건강에 이롭단 말이지 ㄹㅇ
33,PC 온라인게임 추천 라테일 각성 등장! 신규 몬스터와 새로운 맵(직업티어),2021.08.02.,아기자기한 게임으로 꾸준한 사랑을 받고 있는 라테일이 최근 각성 업데이트를 진행했다. 17가지의 직업이... 그래서 오랜만에 게임에 접속해본 분들이 변화된 게임 모습에 적지 않은 놀라움을 표하는 상황이다. 200~235 구간...
34,"아키에이지 시즌 서버 환락 오픈, 온라인게임추천 작품으로 복귀 유저들이 기대 중",2021.06.24.,그리고 시즌 서버 전용 아키패스 프리미엄 1개 이상 완료 시에는 인게임에서 유용하게 쓸 수 있는 나이마의... 이렇게 신규 혹은 복귀 유저들을 위한 다양한 혜택을 제공해주고 있어 온라인게임추천 타이틀을 가지고 있다고...
35,온라인게임추천 마비노기영웅전 마영전 단아 출시일은 언제?,2021.06.29.,"지난 17일 온라인게임 마비노기영웅전 공식 유튜브 채널에 신규 캐릭터 영혼의 무사 '단아'의 시네마틱 티저 영상이 공개되었습니다. 단아에 대한 이야기에 앞서 이 게임의 특징을 잠깐 소개해드리자면, 마비노기의..."
36,PC온라인게임 바람의나라 레벨업 루트 플레이 리뷰,2021.08.09.,"PC온라인게임 바람의나라는 이제 우측하단에 있는 [ 메뉴 ]를 통해서, 경험치 판매나 물약 구매 등 다양한 기능을 별도의 NPC이동 할 필요 없이 가능해졌습니다. 게임이 정말 편하게 바뀌었더라고요. 1차, 2차 등 각 승급..."
37,PC 온라인 게임 순위 7월 4주 간략하게 보시죠.,2021.07.22.,주말엔 역시 PC 온라인 게임 순위 보면서 게임이나.... 하.. 언제쯤 자유롭게 나갈 수 있을까 싶네요. 정말... 4위 피파온라인4입니다. 도쿄 올림픽이 시작되고 축구 보는 재미?에 빠져 살고 있는데요. 내가 진짜로 달리지는...
38,"[코너의 게임블로그]유비소프트, 온라인 게임인 코드명 '어쌔신크리드 인피니티'를 공식 발표하다.",2021.07.08.,"어쌔신크리드 온라인 라이브 서비스 게임, 코드네임 '어쌔신크리드 인피니티'는 현재 개발 초기 단계에 있는 상태이며, 여러 기존 어쌔신크리드 시리즈 개발진들이 참여하고 있고, 또한 기존 리드 스튜디오가..."
39,[게임] 엘더스크롤 온라인 리뷰,2021.05.18.,발매 : 2014년 스카이림 이후 엘더스크롤 세계관을 기반으로 나온 온라인 게임으로 필자도 처음에 스카이림을... 이 게임을 살만한 가치는 충분하다고 생각한다. 엘더스크롤 온라인의 지역들은 보다시피 퀘스트...
40,"온라인 게임을 마무리하고, 스팀 싱글게임 위주 플레이할 예정입니다.",2021.07.05.,한 2~3년 동안은 온라인 게임 위주로 해왔는데 어느덧 혼자 진득하게 할 게임을 점점 하고 싶은 욕구가 생기더라구요. 틈틈히 스팀 할인할 때 모아놨던 싱글게임을 해보는 시간을 가져보면 어떨까 싶습니다. 특히 연차쓰고...
41,pc온라인 게임 로스트아크 펫 퀘스트와 세바스티앙 펫 아롱이 & 바롱이,2021.08.17.,pc온라인 게임 로스트아크 펫 퀘스트와 세바스티앙 펫 아롱이 & 바롱이 펫과의 만남 가이드는 점핑권 쓰기 이전에 찍어뒀던 건데요 좀 안하다가 접속을 하니까 펫가이드가 생겼더라고요 그래서 마을로 다시 돌아와엇 펫...
42,닌텐도 스위치 온라인 게임 트라이얼 : 이스 8 라크리모사 오브 다나,2021.06.21.,닌텐도 스위치 온라인 게임 트라이얼 : 이스 8 라크리모사 오브 다나 닌텐도 스위치 온라인 가입자 한정 이벤트인 '게임 트라이얼'은 닌텐도에서 DL 소프트를 선별해 기간 한정으로 소프트웨어 전체를 무료로 즐길 수...
43,온라인 FPS 게임 추천 카스온라인 좀비Z 시즌2 플레이 후기,2021.07.09.,이것은 게임 쪽도 마찬가지인데요. 공포 / 스릴 / 재미의 3박자를 갖추고 있어 유저들에게 많은 사랑을... 있는 온라인 게임 추천을 원하시는 분들은 FPS 카스온라인의 좀비Z 시즌2를 경험해 보시는 것도 괜찮지 않을까...
44,온라인 크라임씬 게임 :: 리얼크라임씬2 마술산장 살인사건 후기,2021.08.19.,02 마술산장 살인 사건 코로나때문에 밖에 나가서 놀기 어려운 요즘 온라인으로 만나서 즐길 수 있는 게임... 코로나때문에 여러명이 만날 수 없는 이시국이 이런 온라인 게임이 많이 개발되면 좋겠다 :) 지금 오픈...
45,엘's 온라인게임순위 분석 21년8월3주차,2021.08.15.,온라인게임순위 분석 21년8월3주차 2. 로스트아크 로아 계속해서 2위를 수성하고 있다. 온라인쪽에서 1위는... 근데 그것도 좀 불안하기도 하고 무튼 온라인게임시장 로아를 제외하면 좀 조용한데 여러 게임들이 잘 되어서...
46,PC온라인게임 바람의나라 바린이나르샤 활용하고 8차승급까지 GO!,2021.08.05.,"PC온라인게임 바람의나라 바린이나르샤 이벤트가 진행되는 기간 적용 가능한 캐릭터는 30레벨 미만 ID당... PC온라인게임 바람의나라 바린이나르샤 이벤트를 통해 빠른 성장을 진행하고 싶다면, 사냥을 하는 것이 아니라..."
47,PC 온라인게임 붉은사막 출시일 연기 소식,2021.07.30.,"PC 온라인게임 붉은사막 출시일 연기 소식 게임 좋아하는 분들에게 정말 안타까운 소식을 전합니다. 올 겨울에 출시하기로 한 붉은사막이 연기된다고 합니다. 특히, PC 온라인게임을 즐기는 분들이 정말 많이 기대했을..."
48,"온라인게임추천 아키에이지 환락 시즌서버 후기, 온라인게임순위 상승 하나?",2021.06.28.,"온라인게임추천 '아키에이지' 환락 시즌서버 플레이 후기, 온라인게임순위 상승할까? 며칠 전인 2021년 6월... 남는 게임이다. 이번에 오픈한 시즌 서버 환락은 오랜 기간 서비스가 진행됨으로 많은 유저들과의 격차에서..."
49,PC온라인게임 검은사막 온라인 대망의 커세어 각성 업데이트,2021.08.11.,PC온라인게임 검은사막온라인은 자동 길찾기가 잘 되어 있는 게임이라 처음 각성하는 초보자도 쉽게 할 수 있더군요. 저는 메인 퀘스트를 진행하다가 각성 퀘스트 클리어하는 곳으로 와서 거리가 좀 있었는데 56 레벨을...
50,중국에서 미성년자 온라인게임 하지말아라,4시간 전,""" "" 중국에서 미성년자의 온라인 게임이용을 제한하려는 움직임이 보여 논란입니다. 당장 운영 방식에서 나인 사례가 충격적인데요. 금, 토, 일 또는 공휴일 오후 8~9시 사이 한 시간만 게임을 즐겨라 대한민국에서 운영..."
51,다들 온라인 구매하시나요??,4일 전,6월 말정도 동숲 구매해서 즐기고 있는데 카페 둘러보거나 유튜브 보면 온라인을 사용하지 않는 분들은 없는 것 같더라구요...!! 평소에 온라인 게임을 하더라도 혼자즐기는? 스타일이라 처음에는 결제할 생각이 없었는데...
52,[시티레이서] 18년째 서비스되고 있는 국내 온라인 레이싱게임이 있다?,2021.06.14.,"당시 출시한 국내 1세대 레이싱게임중 아직까지 유일하게 살아남은 정말 장수 온라인 레이싱게임이 바로... 방식은 온라인 게임의 PVE,PVP 를 레이싱 게임에 익숙한 형태로 잘 결합이 되었다는 평가를 받았었죠. 저는 PVE..."
53,PC온라인게임 바람의나라 이렇게 레벨업하면 넘모 쉽다고!,2021.08.05.,어렸을 때 친구들과 같이 하하 호호 웃으면서 즐길 수 있었던 추억이 가득한 게임이라 많이들 PC온라인게임 바람의나라에 대한 소식이 궁금했을 것 같은데요. 오늘은 PC온라인게임 바람의나라 바린이들을 위한 소식...
54,마비노기영웅전 신규 캐릭터 '단아' 공개! 꾸준히 관심받는 온라인게임추천 작품 [EastJade],2021.06.25.,이런 스킬 조합을 잘 활용하면 굉장히 재미있게 게임을 플레이할 수 있을 것 같아서 역시 액션 온라인게임추천 작품이다! 하는 생각이 듭니다. ㅎㅎ 중세 판타지 느낌의 세계관이 기본 베이스로 깔려있는 마비노기...
55,여러명이 모이면 재미있는 온라인게임 갈틱폰(Gartic Phone)!,2021.07.24.,"캐치마인드와 비슷한 류의 게임입니다. 다만, 캐치마인드는 한 사람이 그림을 그리면 나머지 사람들이 그... 전혀 상상도 못한것들이 나오면서 너무너무 웃기다 ㅋㅋㅋㅋㅋㅋㅋ 아니 어떻게 이런 게임이 있었지 ㅋㅋㅋㅋㅋㅋ"
56,PC게임기대작 더샌드박스! 자유도 높은 출시예정온라인게임 여기서 만나보자,2021.08.17.,"출시예정온라인게임 더샌드박스의 게임 메이커와 복스에딧, 마켓 플레이스까지 세 가지 핵심 요소를 활용하면 게임에 대한 전문 지식이 없는 유저들도 완성도 높은 게임을 만들어낼 수 있답니다. 템플릿을 사용하여 내가..."
57,온라인 게임 순위 21년 8월 3주차,2021.08.18.,"피파온라인4, 6위 발로란트, 7위 오버워치, 8위 메이플스토리, 9위 스타크래프트, 10위 아이온, 11위... 온라인 게임 순위에서 큰 변동 폭은 아니지만 그럼에도 꾸준히 상위권을 유지하고 있으며 많은 게임들 사이에서도..."
58,온라인 게임종료방법이요 !,2021.06.13.,온라인은 자동저장으로 알고있는데 유랑모드나 캠프에서 게임 끝내려고하면 어떻게하면되나요?? 나가기 버튼이따로있나요?? 저는 지금까지 캠프로 돌아가서 바로 ps버튼누르고 그냥 플스 자체를 꺼버렸는데 이렇게끄는게...
59,PC온라인게임 추천 던전앤파이터 9월 업데이트 안내 및 이벤트 소식,어제,PC온라인게임 던전앤파이터 현재 진행중인 이벤트 다양한 이벤트가 많겠지만 그래도 그나마 최근에 나온 이벤트는 <히만 스텔라의 사진첩> 이벤트이다. 참여 방법은 간단하다. 매일 게임 접속을 해 스텔라의 사진첩을...
60,온라인게임 시장이 몰락한 이유를 알아보자.,2021.08.18.,"""서든"" , ""스페셜포스1"" , ""AVA 온라인"" , ""얍카"" , ""메이플"" , ""던파"" , ""마비노기"" , ""그랜드체이스"" , ""캡슐파이터... 우선, 온라인게임은 패키지게임과는 다르다. 패키지 게임은 ""완성""된 상태로 출시되어 유저들의 평가를..."
61,게임 접습니다,2021.07.25.,"이게 처음으로 시작한 온라인 게임이었는데 이걸 끝으로 온라인 게임 자체와 아예 결별합니다. 게임 내용이나, 사람들끼리 부대끼며 성격 버리는것도 그렇지만 서폿 이새끼들 하는짓이 도저히 x같아서 더 못잡겠습니다...."
62,(무료게임) 슈퍼 봄버맨 R 온라인 스팀 출시 예정,2021.05.20.,"PV 영상 https://youtu.be/WBG_GIysHWY 플랫폼 : Steam , PS4/5 , 스위치 (엑스박스 제외 추후 출시 예정) 크로스 멀티 플레이 출시일 : 5월 27일 64 인 온라인 배틀 로얄 매치 무료 온라인 게임..."
63,라떼는 말이여2~~추억의 온라인게임,2021.02.18.,"바로 오늘 애기할것은 추억의 온라인게임입니다ㅎㅎㅎ. 많은 게임리스트를 들고 왔으니....이점 참고 부탁드립니다ㅎㅎㅎ. 그럼 시작합니다!!!ㅎㅎ 라떼는 말이여2~~ 추억의 온라인게임 리스트 그랜드 체이스, 바람의 나라..."
64,위커넥션 온라인게임 ?,2021.01.19.,사진번역해도 먼소린지 모르겠어요.. 위에거랑 다른소리긴 한데.. 같이할 유저가 없단소리면 활성화는 되거잖아요! . . . 여기서 질문은요! 마카말구 다른 온라인되는 게임은 동숲할때윔피를 이용하면 가능한가요?
65,(게임) 할만한 게임이...,2021.08.16.,"나머지 두개는 섭종이고 구글 플레이는 취향과 먼 게임이 다반사이고 원스토어는 고전 클래식한 게임만 있어서 생략합니다. 온라인 게임은 카트라이더, 배그합니다. 쿠앱의 추천... 그 와중에 붕괴3 형제인 원신이 있네요."
66,온라인게임 라테일 하시는분들 있으신가요?,2021.01.02.,어....제가 그게임이 해보고싶은데.. 제가좀 온라인게임 이해도가 낮아서...? 일단..하시는 분들 있으신가여?.. 댓글좀 많이 달아 주세요.
67,ps4 무료게임 궁금합니다.,6일 전,초보 유저 입니다. 무료판이 있던데 온라인 패키지를 구입해야만 다운받아서 플레이 가능한건가요? 무료게임 다운로드 시간이 너무긴것 같은데 무료게임 다운로드가 원래 그런건가요?
68,요즘 온라인 게임도 합니다요,2021.01.25.,된 온라인 게임을 다시 하려니까 몸이 안따라가네요.. 11년 전이었나... 비다르 서버에 네임드였는데.. 이제는 추억에 남겨야 되겠어요.. 지치고 힘들고 못하겠네요!! 역시 레트로 게임이 짱임!!...
69,여러분들은 한국 온라인 게임에 대해서 어떻게 생각하십니까?,2020.12.10.,콘솔게임이 한국 온라인 게임과는 비교도 할 수 없을 정도로 높은 완성도를 자랑하는 것 때문이죠. 애초에 게임 컨셉 자체가 다른지라 1:1 비교는 불가능하지만 비슷한 장르와 컨셉을 가진 거라면 저는 당연히 PS4에 대한...
70,문명과 같은 악마의 게임,2021.08.23.,히아로즈 오브 마이트 앤 매직 시리즈 이게임은 문명과 비슷한 악마의 게임이다. 턴제 전략 시뮬레이션게임으로 영웅을 rpg 형식으로 키우면서 유닛을 모으고 건물을 발전시켜 적군을 무찌르는 규칙의 게임이다.(일부...
71,"필리핀에서 한국 온라인게임 및 스트리밍 고화질로, 하이온필리핀 VPN 추천",2021.07.09.,한국의 온라인게임들을 스마트폰 기기로 플레이가 가능했었죠. 라이트 상품은 SNS나 메신저/웹서핑/구글/카톡을 원활하게 접속 및 사용 가능하게 해주는 상품입니다. 필자는 이왕이면 한국온라인콘텐츠를 제한없이 사용...
72,"주중 내로 셧다운제 폐지, 게임시간 선택제 도입.",7일 전,"부처 간 게임 셧다운제를 폐지할 것""이라고 말했다. 지난 2011년부터 시행 중인 셧다운제는 청소년보호법 제26조에 따라 자정부터 오전 6시까지 만 16세 미만 청소년의 온라인게임 접속을 차단하는 정책이다."
73,스위치 온라인 게임 종류가 많나요?,2021.04.17.,"하는데 몬스터헌터 라이즈 구입해서 도저히 혼자서는 진도를 못나가 가입하려고 합니다. 온라인상에 유저분들이 많아 쉽게 매칭된다고 해서요 그런데 몬헌 말구 다른 게임, 온라인으로 즐길만한것들이 있는지 문의드려요"
74,플스기기 한개로 2명 로컬접속후 온라인 가능한 게임 있을까요 ㅠ?,2021.07.14.,"이렇게 포기하기에는 아쉬움이 남아 혹시나 플스 기기한개로 계정두개다 플러스 구매이후 로컬상태에서 온라인접속하여 가능한 게임이 있는지 아시는분 있으시다면.. 부탁드립니다 ㅠ,.ㅠ"
75,"와... 게임이나 현실이나 똑같구만,,",2021.08.14.,하도 게임회사한테나 빡빡이라는 사람한테나 일방적으로 저주스러운 소리를 해사서 쫌 의도적으로 강하게... 쌀먹충들한테는 게임이 어려워지니 쉬워지니 중요한게 아니예요 걍 유저들이 많아야 밥그릇을 챙길텐데 이렇게...
76,할게임이 넘쳐나네요,2021.07.23.,될것같네요 한국온라인게임을 무시하는건 아니지만 게임질적인 측면이 차원이 다르다는것을 느끼네요 20대중반을 넘어 20대후반을 달리는 나이인데 지금 입문하게 후회될정도이네요 한국콘솔시장이 더 커졌으면 좋겠네요
77,온라인 게임에 랜덤 쓰기 어렵나요?,2021.04.19.,20년쯤 전에 서비스 종료한 온라인 게임을 유니티 엔진으로 다시 만들어서 테스트하고 있는 걸 보았습니다.... 왜 저러고 있는지 잘 이해가 안되네요. 라이브 온라인 게임에 랜덤함수 같은 걸 쓰면.. 부담이 좀 많이 되나요?
78,PS4 접속자 많은 게임 추천해주세요!ㅎ,2021.08.22.,지금 세일하는 온라인 게임들 중에 하고싶은 게임은 수두룩 하지만 PS4가 스을스을 철 지나는 게임인지라 들어가면 저 밖에 없을까봐 걱정이네요ㅎㅎ 되도록이면 아직 파란핑 많이 보이는 온라인 게임이면 좋겠습니다!...
79,온라인 게임 만드시는분은 잘 없나보네요,2021.03.04.,난이도가 어려워서 그런가요? c# 유니티 꽤 할줄 안다면 학원에서 서버 배우면 1년정도면 원하는 온라인 게임 구현할 수준이 될까요ㅡ?
80,온라인게임 동기화,2020.09.07.,친구와 온라인 친선게임을 할려고하는데 아래사진처럼 온라인 경기와 동기화가 되지않았다는데 해결방안좀요....ㅠㅠ
81,온라인게임,2021.08.02.,노트북으로 할 수 있는 온라인 게임 추천 좀 해주셈
